Unit ID,Inc #,Location,Latitude,Longitude,Inc Type,Started,Ended,Time Spent
101,18052782,921 WEST 5TH ST,40.60397,-74.433534,HOTSPOT PTRL,10/8/2018 11:02,10/8/2018 11:24,21.4
103,18052784,1315 GRANT AV,40.598942,-74.424629,HOTSPOT PTRL,10/8/2018 11:08,10/8/2018 11:25,16.98
107,18052786,700 WEST 3RD ST,40.608822,-74.431786,HOTSPOT PTRL,10/8/2018 11:15,10/8/2018 11:25,9.92
107,18053014,130 WEST FRONT ST,40.618187,-74.424488,HOTSPOT PTRL,10/9/2018 12:58,10/9/2018 13:30,32.05
101,18053330,200 POND PL,40.605443,-74.438583,HOTSPOT PTRL,10/10/2018 20:32,10/10/2018 20:39,6.77
104,18053345,111 EAST FRONT ST,40.618968,-74.423645,HOTSPOT PTRL,10/10/2018 21:33,10/10/2018 21:44,10.42
101,18053361,700 WEST 4TH ST,40.608181,-74.430726,HOTSPOT PTRL,10/10/2018 22:34,10/10/2018 22:35,1.37
104,18053509,CHURCH ST & EAST 2ND ST,40.62035,-74.42018,HOTSPOT PTRL,10/11/2018 20:34,10/11/2018 20:48,13.83
106,18053822,1346 EAST 2ND ST,40.638286,-74.405701,HOTSPOT PTRL,10/13/2018 7:41,10/13/2018 8:07,26.38
102,18054007,NEW ST & WEST FRONT ST,40.61611,-74.42735,HOTSPOT PTRL,10/14/2018 7:51,10/14/2018 8:08,16.9
106,18054008,961 EAST FRONT ST,40.63381,-74.41316,HOTSPOT PTRL,10/14/2018 8:03,10/14/2018 9:21,77.27
101,18054014,921 WEST 5TH ST,40.60397,-74.433534,HOTSPOT PTRL,10/14/2018 8:54,10/14/2018 9:12,18.07
107,18054031,NEW ST & WEST FRONT ST,40.61611,-74.42735,HOTSPOT PTRL,10/14/2018 11:31,10/14/2018 12:09,37.67
103,18054039,950 PARK AV,40.611937,-74.412372,HOTSPOT PTRL,10/14/2018 12:20,10/14/2018 13:10,50.9
104,18054052,111 EAST FRONT ST,40.618968,-74.423645,HOTSPOT PTRL,10/14/2018 13:17,10/14/2018 13:23,5.72
